# Time	Position	Velocity	Total Energy
0.0000	0.0000	4.0000	8.0000
0.0100	0.0400	4.0000	8.0008
0.0200	0.0800	4.0000	8.0032
0.0300	0.1200	3.9996	8.0056
0.0400	0.1600	3.9988	8.0080
0.0500	0.2000	3.9976	8.0104
0.0600	0.2399	3.9960	8.0128
0.0700	0.2799	3.9940	8.0152
0.0800	0.3198	3.9916	8.0176
0.0900	0.3597	3.9888	8.0200
0.1000	0.3996	3.9856	8.0224
0.1100	0.4394	3.9820	8.0248
0.1200	0.4792	3.9780	8.0272
0.1300	0.5190	3.9736	8.0295
0.1400	0.5587	3.9688	8.0319
0.1500	0.5984	3.9637	8.0343
0.1600	0.6380	3.9581	8.0367
0.1700	0.6775	3.9521	8.0390
0.1800	0.7170	3.9457	8.0414
0.1900	0.7564	3.9390	8.0438
0.2000	0.7958	3.9318	8.0461
0.2100	0.8351	3.9242	8.0485
0.2200	0.8743	3.9163	8.0509
0.2300	0.9134	3.9080	8.0532
0.2400	0.9524	3.8992	8.0555
0.2500	0.9914	3.8901	8.0579
0.2600	1.0302	3.8806	8.0602
0.2700	1.0690	3.8707	8.0625
0.2800	1.1076	3.8604	8.0649
0.2900	1.1462	3.8498	8.0672
0.3000	1.1846	3.8387	8.0695
0.3100	1.2230	3.8273	8.0718
0.3200	1.2612	3.8154	8.0741
0.3300	1.2993	3.8032	8.0763
0.3400	1.3372	3.7907	8.0786
0.3500	1.3751	3.7777	8.0809
0.3600	1.4128	3.7644	8.0832
0.3700	1.4504	3.7506	8.0854
0.3800	1.4878	3.7365	8.0877
0.3900	1.5251	3.7221	8.0899
0.4000	1.5622	3.7072	8.0921
0.4100	1.5992	3.6920	8.0943
0.4200	1.6361	3.6765	8.0966
0.4300	1.6728	3.6605	8.0988
0.4400	1.7093	3.6442	8.1009
0.4500	1.7456	3.6275	8.1031
0.4600	1.7818	3.6105	8.1053
0.4700	1.8179	3.5931	8.1075
0.4800	1.8537	3.5753	8.1096
0.4900	1.8894	3.5572	8.1117
0.5000	1.9248	3.5387	8.1139
0.5100	1.9601	3.5199	8.1160
0.5200	1.9952	3.5007	8.1181
0.5300	2.0301	3.4812	8.1202
0.5400	2.0649	3.4613	8.1223
0.5500	2.0994	3.4411	8.1243
0.5600	2.1337	3.4206	8.1264
0.5700	2.1678	3.3996	8.1284
0.5800	2.2017	3.3784	8.1305
0.5900	2.2353	3.3568	8.1325
0.6000	2.2688	3.3349	8.1345
0.6100	2.3020	3.3126	8.1365
0.6200	2.3351	3.2901	8.1385
0.6300	2.3678	3.2671	8.1404
0.6400	2.4004	3.2439	8.1424
0.6500	2.4327	3.2203	8.1443
0.6600	2.4648	3.1964	8.1463
0.6700	2.4966	3.1722	8.1482
0.6800	2.5282	3.1477	8.1501
0.6900	2.5596	3.1229	8.1520
0.7000	2.5907	3.0977	8.1538
0.7100	2.6216	3.0723	8.1557
0.7200	2.6521	3.0465	8.1575
0.7300	2.6825	3.0204	8.1593
0.7400	2.7126	2.9940	8.1611
0.7500	2.7424	2.9674	8.1629
0.7600	2.7719	2.9404	8.1647
0.7700	2.8012	2.9131	8.1664
0.7800	2.8302	2.8856	8.1682
0.7900	2.8589	2.8577	8.1699
0.8000	2.8873	2.8296	8.1716
0.8100	2.9155	2.8012	8.1733
0.8200	2.9433	2.7725	8.1750
0.8300	2.9709	2.7435	8.1766
0.8400	2.9982	2.7143	8.1783
0.8500	3.0252	2.6848	8.1799
0.8600	3.0519	2.6550	8.1815
0.8700	3.0783	2.6249	8.1831
0.8800	3.1044	2.5946	8.1846
0.8900	3.1302	2.5640	8.1862
0.9000	3.1557	2.5332	8.1877
0.9100	3.1809	2.5021	8.1892
0.9200	3.2057	2.4708	8.1907
0.9300	3.2303	2.4392	8.1922
0.9400	3.2545	2.4074	8.1936
0.9500	3.2784	2.3753	8.1951
0.9600	3.3020	2.3430	8.1965
0.9700	3.3253	2.3105	8.1979
0.9800	3.3482	2.2777	8.1993
0.9900	3.3708	2.2447	8.2006
1.0000	3.3931	2.2115	8.2019
1.0100	3.4151	2.1781	8.2033
1.0200	3.4367	2.1444	8.2046
1.0300	3.4579	2.1105	8.2058
1.0400	3.4789	2.0764	8.2071
1.0500	3.4995	2.0421	8.2083
1.0600	3.5197	2.0076	8.2095
1.0700	3.5396	1.9730	8.2107
1.0800	3.5592	1.9381	8.2119
1.0900	3.5784	1.9030	8.2131
1.1000	3.5972	1.8677	8.2142
1.1100	3.6157	1.8322	8.2153
1.1200	3.6339	1.7966	8.2164
1.1300	3.6517	1.7608	8.2175
1.1400	3.6691	1.7247	8.2185
1.1500	3.6862	1.6886	8.2195
1.1600	3.7029	1.6522	8.2205
1.1700	3.7192	1.6157	8.2215
1.1800	3.7352	1.5790	8.2225
1.1900	3.7508	1.5422	8.2234
1.2000	3.7660	1.5052	8.2243
1.2100	3.7809	1.4681	8.2252
1.2200	3.7954	1.4308	8.2261
1.2300	3.8095	1.3934	8.2269
1.2400	3.8232	1.3558	8.2277
1.2500	3.8366	1.3181	8.2285
1.2600	3.8496	1.2803	8.2293
1.2700	3.8622	1.2423	8.2301
1.2800	3.8745	1.2042	8.2308
1.2900	3.8863	1.1660	8.2315
1.3000	3.8978	1.1277	8.2322
1.3100	3.9089	1.0893	8.2329
